point	event	pullNum	pullCode	recvNum	recvCode
34	36	8			
34	37	21			
34	38	8			
34	39	11			
34	40	7			
34	41			12	F
34	42	11			
34	43	7			
34	44			16	PU
34	45	21	D		
34	46	21			
34	47	16			
34	48	7			
34	49	21			
34	50			21	D
34	51			16	TO
34	52			23	PU
34	53	14	F		
34	54			34	
34	55			24	
34	56			88	VST
34	57	11	PU		
34	58	21			
34	59	8			
34	60	16			
34	61	21			
34	62	11			
34	63	21			
34	64	11			
34	65	7			
34	66	8			
34	67	7			
34	68	8			
34	69	7			
34	70	8			
34	71			40	F
34	72	7	G		
35	1	6	P		
35	2			13	PU
35	3			23	
36	1	46	P		
36	2			7	PU
36	3			24	
36	4			7	
36	5			6	
36	6			7	
36	7			10	
36	8			7	
36	9			10	
36	10			2	
36	11			6	
36	12			8	TD
36	13	10	D		
36	14	12	PU		
36	15	85			
36	16			24	PU
36	17			10	
36	18			7	
36	19			10	
36	20			7	
36	21			10	
36	22			2	G
37	1	21	P		
37	2			88	PU
37	3			5	
37	4			88	
37	5			34	
37	6			5	
37	7			24	
37	8			34	
37	9	6	D		
37	10	22	PU		
37	11	6			
37	12			24	D
37	13			5	PU
37	14			13	
37	15			24	
37	16			88	
37	17			23	
37	18	6	PU		
37	19	21			
37	20	5			
37	21			5	D
37	22			34	PU
37	23			8	
37	24			24	
37	25			13	
37	26			5	
37	27			34	TO
37	28			40	PU
37	29			23	
37	30			13	
37	31			46	
37	32			23	
37	33	21	PU		
37	34	9			
37	35	21			
37	36	14			
37	37	17			
37	38	7			
37	39	4			
37	40	7			
37	41	22			
37	42	9	LG		
38	1	11	P		
38	2			16	PU
38	3	14	D		
