point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
29	pdxST	vanNH	15	8				pdxST
29	pdxST	vanNH	16	6				pdxST
29	pdxST	vanNH	17	21				pdxST
29	pdxST	vanNH	18	88	A			pdxST
29	pdxST	vanNH	19	3	G			pdxST
30	pdxST	vanNH	1	6	P			pdxST
30	pdxST	vanNH	2			18	PU	pdxST
30	pdxST	vanNH	3			91		pdxST
30	pdxST	vanNH	4			5		pdxST
30	pdxST	vanNH	5	88	PU			pdxST
30	pdxST	vanNH	6	22				pdxST
30	pdxST	vanNH	7	88				pdxST
30	pdxST	vanNH	8			8	D	pdxST
30	pdxST	vanNH	9			91	PU	pdxST
30	pdxST	vanNH	10			10		pdxST
30	pdxST	vanNH	11			8		pdxST
30	pdxST	vanNH	12			22	TD	pdxST
30	pdxST	vanNH	13	8	PU			pdxST
30	pdxST	vanNH	14	22				pdxST
30	pdxST	vanNH	15	21				pdxST
30	pdxST	vanNH	16	4				pdxST
30	pdxST	vanNH	17	6	A			pdxST
30	pdxST	vanNH	18	13	G			pdxST
31	pdxST	vanNH	1	42	P			pdxST
31	pdxST	vanNH	2			45	PU	pdxST
31	pdxST	vanNH	3			75		pdxST
31	pdxST	vanNH	4			33		pdxST
31	pdxST	vanNH	5			89		pdxST
31	pdxST	vanNH	6	7	PU			pdxST
31	pdxST	vanNH	7	24				pdxST
31	pdxST	vanNH	8	7				pdxST
31	pdxST	vanNH	9	24				pdxST
31	pdxST	vanNH	10	7				pdxST
31	pdxST	vanNH	11	24				pdxST
31	pdxST	vanNH	12	4				pdxST
31	pdxST	vanNH	13	24				pdxST
31	pdxST	vanNH	14	88				pdxST
31	pdxST	vanNH	15	4				pdxST
31	pdxST	vanNH	16	24				pdxST
31	pdxST	vanNH	17	14				pdxST
31	pdxST	vanNH	18	88				pdxST
31	pdxST	vanNH	19	2				pdxST
31	pdxST	vanNH	20	88				pdxST
31	pdxST	vanNH	21	14				pdxST
31	pdxST	vanNH	22	4				pdxST
31	pdxST	vanNH	23	2				pdxST
31	pdxST	vanNH	24	7				pdxST
31	pdxST	vanNH	25	24				pdxST
31	pdxST	vanNH	26	4				pdxST
31	pdxST	vanNH	27	24				pdxST
31	pdxST	vanNH	28	17				pdxST
31	pdxST	vanNH	29	14				pdxST
31	pdxST	vanNH	30	7				pdxST
31	pdxST	vanNH	31	24				pdxST
