game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	2	pdxST	pdxST	42	PU
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	3	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	4	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	5	pdxST	pdxST	2	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	6	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	7	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	8	pdxST	pdxST	2	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	9	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	10	pdxST	pdxST	6	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	11	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	12	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	13	pdxST	pdxST	2	
2014-04-12_vanNH-at-pdxST	2	20	vanNH	33	2	14	vanNH	vanNH	33	TO
2014-04-12_vanNH-at-pdxST	2	20	vanNH	33	2	15	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	2	20	vanNH	33	2	16	vanNH	vanNH	22	A
2014-04-12_vanNH-at-pdxST	2	20	vanNH	33	2	17	vanNH	pdxST	3	F
2014-04-12_vanNH-at-pdxST	2	20	vanNH	33	2	18	vanNH	vanNH	21	LG
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	2	pdxST	pdxST	42	PU
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	3	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	4	pdxST	pdxST	10	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	5	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	6	pdxST	pdxST	10	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	7	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	8	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	9	pdxST	pdxST	16	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	10	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	11	pdxST	pdxST	10	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	12	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	13	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	14	pdxST	pdxST	7	A
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	15	pdxST	pdxST	16	LG
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	1	vanNH	pdxST	88	P
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	2	vanNH	vanNH	89	PU
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	3	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	4	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	5	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	6	vanNH	vanNH	21	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	7	vanNH	pdxST	8	F
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	8	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	9	vanNH	vanNH	98	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	10	vanNH	pdxST	21	D
2014-04-12_vanNH-at-pdxST	2	22	pdxST	36	2	11	pdxST	pdxST	21	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	36	2	12	pdxST	pdxST	6	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	36	2	13	pdxST	vanNH	89	D
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	14	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	15	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	16	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	17	vanNH	vanNH	5	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	18	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	19	vanNH	vanNH	21	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	20	vanNH	pdxST	8	D
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	21	pdxST	pdxST	8	TO
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	22	pdxST	pdxST	24	PU
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	23	pdxST	pdxST	11	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	24	pdxST	pdxST	2	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	25	pdxST	pdxST	16	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	26	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	27	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	28	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	29	pdxST	pdxST	2	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	30	pdxST	vanNH	31	D
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	31	vanNH	vanNH	31	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	32	vanNH	vanNH	8	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	33	vanNH	vanNH	31	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	34	vanNH	vanNH	33	
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	35	vanNH	vanNH	13	LA
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	36	vanNH	vanNH	31	G
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	2	pdxST	pdxST	42	PU
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	3	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	4	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	5	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	6	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	7	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	8	pdxST	pdxST	16	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	9	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	10	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	11	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	12	pdxST	pdxST	4	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	13	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	14	pdxST	pdxST	16	
