period	point	event	pl_team	pl_pnum	pl_code
4	31	5	vanNH	8	TO
4	31	6	vanNH	91	PU
4	31	7	vanNH	98	
4	31	8	seaRM	29	D
4	31	9	seaRM	21	PU
4	31	10	seaRM	35	
4	31	11	seaRM	23	
4	31	12	seaRM	35	
4	31	13	seaRM	29	
4	31	14	seaRM	21	
4	31	15	seaRM	13	
4	31	16	seaRM	35	A
4	31	17	seaRM	9	G
4	32	1	seaRM	35	P
4	32	2	vanNH	89	PU
4	32	3	vanNH	91	
4	32	4	vanNH	89	
4	32	5	vanNH	10	
4	32	6	vanNH	8	
4	32	7	vanNH	72	
4	32	8	vanNH	10	
4	32	9	vanNH	8	A
4	32	10	vanNH	72	G
4	33	1	vanNH	8	P
4	33	2	seaRM	3	PU
4	33	3	seaRM	17	A
4	33	4	seaRM	48	G
4	34	1	seaRM	35	P
4	34	2	vanNH	91	PU
4	34	3	vanNH	22	
4	34	4	vanNH	89	
4	34	5	vanNH	13	A
4	34	6	vanNH	5	G
4	35	1	vanNH	33	P
4	35	2	seaRM	3	PU
4	35	3	seaRM	5	
4	35	4	seaRM	6	
4	35	5	seaRM	3	
4	35	6	seaRM	25	
4	35	7	seaRM	17	
4	35	8	seaRM	3	
4	35	9	seaRM	5	
4	35	10	seaRM	20	
4	35	11	vanNH	18	PU
4	35	12	vanNH	45	
4	35	13	vanNH	75	
4	35	14	vanNH	8	
4	35	15	vanNH	18	
4	35	16	seaRM	27	D
4	35	17	seaRM	3	PU
4	35	18	seaRM	20	
4	35	19	seaRM	25	
4	35	20	seaRM	5	
4	35	21	seaRM	3	
4	35	22	vanNH	18	PU
4	35	23	vanNH	45	
4	35	24	vanNH	8	
4	35	25	vanNH	33	
4	35	26	seaRM	3	D
4	35	27	seaRM	20	TO
4	35	28	seaRM	3	PU
4	35	29	seaRM	17	
4	35	30	seaRM	6	
4	35	31	seaRM	17	
4	35	32	seaRM	5	
4	35	33	vanNH	8	PU
4	35	34	vanNH	18	
4	35	35	vanNH	31	
4	35	36	vanNH	81	
4	35	37	vanNH	8	
4	35	38	vanNH	75	
4	35	39	vanNH	81	
4	35	40	seaRM	99	D
4	35	41	seaRM	3	PUA
4	35	42	seaRM	99	LG
4	36	1	seaRM	35	P
4	36	2	vanNH	5	PU
4	36	3	vanNH	91	
4	36	4	vanNH	22	
4	36	5	seaRM	35	PU
4	36	6	seaRM	29	
4	36	7	seaRM	35	
4	36	8	seaRM	29	
4	36	9	seaRM	35	
4	36	10	vanNH	21	F
4	36	11	seaRM	29	
4	36	12	seaRM	21	
4	36	13	vanNH	5	F
4	36	14	seaRM	29	
4	36	15	seaRM	21	
4	36	16	seaRM	28	
4	36	17	seaRM	23	
4	36	18	seaRM	29	
4	36	19	seaRM	28	
4	36	20	seaRM	29	
4	36	21	seaRM	21	
4	36	22	seaRM	13	
4	36	23	seaRM	29	A
4	36	24	seaRM	9	G
4	37	1	seaRM	10	P
4	37	2	vanNH	89	PU
4	37	3	vanNH	91	
4	37	4	vanNH	5	
4	37	5	vanNH	18	TD
4	37	6	seaRM	10	PU
4	37	7	seaRM	0	
4	37	8	seaRM	4	A
4	37	9	seaRM	23	G
4	38	1	seaRM	4	P
4	38	2	vanNH	33	PU
4	38	3	vanNH	75	
4	38	4	vanNH	31	
4	38	5	seaRM	4	PU
