game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code	score	scor_team	who	a_code	b_code
2014-04-26_vanNH-at-seaRM	1	1	vanNH	1	1	10	seaRM	seaRM	99	G	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	2	seaRM	2	1	8	vanNH	seaRM	35	D	FALSE	NA	o_line	D	def +
2014-04-26_vanNH-at-seaRM	1	2	seaRM	3	2	10	seaRM	seaRM	23	TA	FALSE	NA	d_line	TA	off -
2014-04-26_vanNH-at-seaRM	1	2	seaRM	4	3	13	vanNH	vanNH	98	TA	FALSE	NA	o_line	TA	off -
2014-04-26_vanNH-at-seaRM	1	2	seaRM	5	4	21	seaRM	seaRM	35	LG	TRUE	seaRM	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	3	seaRM	6	1	3	vanNH	seaRM	3	D	FALSE	NA	o_line	D	def +
2014-04-26_vanNH-at-seaRM	1	3	seaRM	7	2	6	seaRM	seaRM	51	G	TRUE	seaRM	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	4	seaRM	8	1	8	vanNH	vanNH	22	LG	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	5	vanNH	9	1	8	seaRM	seaRM	99	LG	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	6	seaRM	10	1	13	vanNH	vanNH	98	LG	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	7	vanNH	11	1	6	seaRM	vanNH	14	D	FALSE	NA	o_line	D	def +
2014-04-26_vanNH-at-seaRM	1	7	vanNH	12	2	13	vanNH	vanNH	13	G	TRUE	vanNH	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	8	vanNH	13	1	6	seaRM	vanNH	27	D	FALSE	NA	o_line	D	def +
2014-04-26_vanNH-at-seaRM	1	8	vanNH	14	2	10	vanNH	vanNH	37	TA	FALSE	NA	d_line	TA	off -
2014-04-26_vanNH-at-seaRM	1	8	vanNH	15	3	14	seaRM	seaRM	1	TA	FALSE	NA	o_line	TA	off -
2014-04-26_vanNH-at-seaRM	1	8	vanNH	16	4	16	vanNH	seaRM	20	D	FALSE	NA	d_line	D	def +
2014-04-26_vanNH-at-seaRM	1	8	vanNH	17	5	19	seaRM	seaRM	25	LG	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	9	seaRM	18	1	6	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	10	vanNH	19	1	6	seaRM	seaRM	17	TA	FALSE	NA	o_line	TA	off -
2014-04-26_vanNH-at-seaRM	1	10	vanNH	20	2	11	vanNH	vanNH	45	G	TRUE	vanNH	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	11	vanNH	21	1	4	seaRM	vanNH	33	D	FALSE	NA	o_line	D	def +
