period	point	event	pl_team	pl_player	pl_code
4	30	4	vanNH	21	
4	30	5	vanNH	10	
4	30	6	vanNH	98	
4	30	7	pdxST	5	D
4	30	8	pdxST	22	PU
4	30	9	pdxST	88	
4	30	10	pdxST	5	VTT
4	30	11	vanNH	91	PU
4	30	12	vanNH	19	
4	30	13	vanNH	89	A
4	30	14	vanNH	98	G
4	31	1	vanNH	33	P
4	31	2	pdxST	42	PU
4	31	3	pdxST	9	
4	31	4	pdxST	42	VTT
4	31	5	vanNH	33	PU
4	31	6	vanNH	45	
4	31	7	vanNH	8	
4	31	8	vanNH	24	A
4	31	9	vanNH	39	G
4	32	1	vanNH	33	OBP
4	32	2	pdxST	9	PU
4	32	3	pdxST	6	
4	32	4	pdxST	7	
4	32	5	pdxST	6	
4	32	6	pdxST	2	TT
4	32	7	vanNH	27	PU
4	32	8	vanNH	81	A
4	32	9	pdxST	4	F
4	32	10	vanNH	24	G
4	33	1	vanNH	33	P
4	33	2	pdxST	7	PU
4	33	3	pdxST	73	
4	33	4	pdxST	8	
4	33	5	pdxST	7	
4	33	6	vanNH	4	F
4	33	7	pdxST	8	
4	33	8	pdxST	42	
4	33	9	vanNH	13	D
4	33	10	vanNH	75	PU
4	33	11	pdxST	8	D
4	33	12	pdxST	8	PU
4	33	13	pdxST	8	F
4	33	14	pdxST	73	
4	33	15	pdxST	7	
4	33	16	pdxST	73	
4	33	17	pdxST	6	
4	33	18	pdxST	16	
4	33	19	pdxST	6	
4	33	20	pdxST	7	
4	33	21	pdxST	73	VTT
4	33	22	pdxST		
4	33	23	vanNH	91	PUA
4	33	24	vanNH	22	G
4	34	1	vanNH	81	P
4	34	2	pdxST	42	PU
4	34	3	pdxST	9	
4	34	4	pdxST	73	
4	34	5	pdxST	6	
4	34	6	pdxST	7	
4	34	7	pdxST	6	
4	34	8	pdxST	7	
4	34	9	pdxST	6	
4	34	10	pdxST	9	
4	34	11	pdxST	7	
4	34	12	pdxST	6	
4	34	13	pdxST	7	
4	34	14	pdxST	88	
4	34	15	pdxST	73	
4	34	16	pdxST	7	
4	34	17	pdxST	42	
4	34	18	pdxST	7	
4	34	19	pdxST	2	
4	34	20	pdxST	7	
4	34	21	pdxST	6	
4	34	22	pdxST	7	
4	34	23	pdxST	9	
4	34	24	pdxST	7	
4	34	25	pdxST	42	
4	34	26	vanNH	8	F
4	34	27	vanNH	24	SO
4	34	28	vanNH	75	SI
4	34	29	pdxST	42	PU
4	34	30	pdxST	6	
4	34	31	pdxST	88	A
4	34	32	pdxST	9	G
4	35	1	pdxST	88	P
4	35	2	vanNH	89	PU
4	35	3	vanNH	19	
4	35	4	vanNH	22	
4	35	5	vanNH	10	
4	35	6	vanNH	89	
4	35	7	vanNH	91	
4	35	8	vanNH	98	
4	35	9	pdxST	5	D
4	35	10	pdxST	8	PU
4	35	11	pdxST	88	
4	35	12	pdxST	4	
4	35	13	pdxST	17	
4	35	14	pdxST	8	A
4	35	15	pdxST	4	LG
4	36	1	pdxST	7	P
4	36	2	vanNH	89	PU
4	36	3	vanNH	91	
4	36	4	vanNH	22	
4	36	5	vanNH	21	
4	36	6	vanNH	91	
4	36	7	vanNH	19	
4	36	8	vanNH	98	
4	36	9	vanNH	21	
4	36	10	vanNH	19	
4	36	11	vanNH	91	
4	36	12	vanNH	22	
4	36	13	vanNH	21	
4	36	14	vanNH	91	A
4	36	15	pdxST	9	F
4	36	16	vanNH	98	G
4	37	1	vanNH	33	OBP
4	37	2	pdxST	88	PU
4	37	3	pdxST	7	
4	37	4	pdxST	88	
4	37	5	pdxST	6	
4	37	6	pdxST	88	
4	37	7	pdxST	73	
4	37	8	pdxST	2	L
4	37	9	pdxST	7	
4	37	10	pdxST	6	
4	37	11	pdxST	73	A
4	37	12	pdxST	2	G
4	38	1	pdxST	88	P
4	38	2	vanNH	89	PU
4	38	3	vanNH	91	
4	38	4	vanNH	21	
4	38	5	pdxST	5	D
4	38	6	pdxST	17	PU
4	38	7	pdxST	17	TO
4	38	8	pdxST	9	PU
4	38	9	pdxST	2	
4	38	10	pdxST	11	
4	38	11	pdxST	6	
4	38	12	pdxST	11	
4	38	13	pdxST	6	
4	38	14	pdxST	16	
4	38	15	pdxST	11	
4	38	16	pdxST	7	
4	38	17	pdxST	6	
4	38	18	pdxST	42	
4	38	19	pdxST	11	A
4	38	20	pdxST	2	LG
4	39	1	pdxST	88	P
4	39	2	vanNH	19	PU
4	39	3	vanNH	91	
4	39	4	vanNH	10	
4	39	5	pdxST	5	D
